attempttime,difficulty,userid,iscorrect,examid
1488742982550,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982552,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982557,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982559,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982561,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982563,2,d18fb270-99b3-11e6-b350-60af9cf8080d,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982822,2,b683a808-99cb-11e6-97d8-bd2382e4286e,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982827,2,b683a808-99cb-11e6-97d8-bd2382e4286e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982829,2,b683a808-99cb-11e6-97d8-bd2382e4286e,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982831,2,b683a808-99cb-11e6-97d8-bd2382e4286e,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982833,2,b683a808-99cb-11e6-97d8-bd2382e4286e,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982835,2,b683a808-99cb-11e6-97d8-bd2382e4286e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982837,2,b683a808-99cb-11e6-97d8-bd2382e4286e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982839,2,b683a808-99cb-11e6-97d8-bd2382e4286e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982841,2,b683a808-99cb-11e6-97d8-bd2382e4286e,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982883,2,9f613310-99d5-11e6-913f-699010dd273e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742982894,2,9f613310-99d5-11e6-913f-699010dd273e,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995014,2,ab873ca0-a2a1-11e6-99a8-7dc7f64e4ba3,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995017,2,ab873ca0-a2a1-11e6-99a8-7dc7f64e4ba3,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995019,2,ab873ca0-a2a1-11e6-99a8-7dc7f64e4ba3,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995024,2,ab873ca0-a2a1-11e6-99a8-7dc7f64e4ba3,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995031,2,ab873ca0-a2a1-11e6-99a8-7dc7f64e4ba3,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995083,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995090,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995097,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995099,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995102,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995104,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995107,2,149d8570-a2a5-11e6-abae-eab358e1cadf,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995738,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995742,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
